"x","y","sample number","angle","30:23:03:87:17:98#WIFI-RTT","30:23:03:87:17:99#WIFI-RTT","30:23:03:87:17:9a#WIFI-RTT","58:cb:52:d7:b5:5d#WIFI-RTT","58:cb:52:d7:b5:31#WIFI-RTT","30:23:03:87:19:6e#WIFI-RTT","30:23:03:87:19:6d#WIFI-RTT","58:cb:52:d7:b4:d9#WIFI-RTT","30:23:03:87:19:6c#WIFI-RTT","58:cb:52:d7:bb:61#WIFI-RTT","30:23:03:87:17:80#WIFI-RTT","58:cb:52:d7:ad:ac#WIFI-RTT","30:23:03:87:17:81#WIFI-RTT","30:23:03:87:17:82#WIFI-RTT"
"0.0","0.0","67","1.0","33.045","17.738","15.458","-1.791","5.042","9.042","9.569","17.276","-100.0","16.239","23.041","-100.0","6.61","5.731","-100.0"
"0.0","0.0","68","1.0","32.732","17.535","15.487","-1.91","4.923","9.247","9.494","17.186","32.538","16.339","22.563","-100.0","6.485","5.951","-100.0"
"0.0","0.0","69","1.0","-100.0","17.551","15.487","-1.907","5.12","9.232","9.619","17.392","32.773","16.22","-100.0","-100.0","6.57","6.01","-100.0"
"0.0","0.0","70","1.0","33.045","17.707","15.487","-1.798","5.036","9.262","9.576","17.317","33.007","16.408","22.338","-100.0","6.485","5.819","-100.0"
"0.0","0.0","71","1.0","32.719","17.701","15.472","-1.873","5.195","9.086","9.426","17.404","-100.0","16.058","-100.0","-100.0","6.679","5.814","-100.0"
"0.0","0.0","72","1.0","33.241","17.607","15.487","-1.882","5.204","9.262","9.576","17.401","-100.0","16.311","22.269","-100.0","6.523","5.966","-100.0"
"0.0","0.0","73","1.0","-100.0","17.619","15.531","-1.916","5.195","9.335","9.576","17.501","32.416","16.239","22.882","-100.0","6.369","5.805","-100.0"
"0.0","0.0","74","1.0","32.882","17.582","15.531","-1.852","5.192","9.247","9.46","17.598","29.604","16.214","22.807","-100.0","6.407","5.834","-100.0"
"0.0","0.0","75","1.0","-100.0","17.701","15.355","-1.751","5.045","9.438","9.46","17.501","-100.0","16.339","-100.0","-100.0","6.451","5.878","-100.0"
"0.0","0.0","76","1.0","33.045","17.538","15.502","-1.801","5.242","9.262","9.46","17.154","33.007","16.38","22.269","-100.0","-100.0","5.936","-100.0"
"0.0","0.0","77","1.0","32.419","17.701","15.487","-1.838","5.148","9.159","9.498","17.298","32.094","16.179","22.732","-100.0","6.526","6.054","-100.0"
"0.0","0.0","78","1.0","-100.0","17.588","15.516","-1.798","5.195","9.115","9.604","17.186","-100.0","16.092","-100.0","-100.0","6.329","5.805","-100.0"
"0.0","0.0","79","1.0","32.895","17.616","15.502","-1.798","5.039","9.218","9.623","17.364","32.763","16.351","23.357","-100.0","6.448","5.848","-100.0"
"0.0","0.0","80","1.0","-100.0","17.579","15.575","-1.801","5.145","8.954","9.538","17.395","32.641","16.092","22.732","-100.0","6.441","5.892","-100.0"
"0.0","0.0","81","1.0","-100.0","17.538","15.458","-1.948","5.12","9.057","9.504","17.373","-100.0","16.301","-100.0","-100.0","6.494","5.98","-100.0"
"0.0","0.0","82","1.0","32.882","17.541","15.707","-1.798","5.201","9.144","9.569","17.186","33.241","16.38","22.894","-100.0","6.526","6.039","-100.0"
"0.0","0.0","83","1.0","32.763","17.466","15.429","-1.92","5.161","9.027","9.569","17.151","33.12","16.098","22.269","-100.0","6.532","5.931","-100.0"
"0.0","0.0","84","1.0","32.107","17.788","15.517","-1.948","5.164","9.086","9.569","17.551","32.538","16.139","22.882","-100.0","6.332","5.936","-100.0"
