batch,x,y,z,brand,model,angle,sampleNumber,30:23:03:87:17:80#1,30:23:03:87:17:81#1,30:23:03:87:17:82#1,30:23:03:87:17:98#1,30:23:03:87:17:99#1,30:23:03:87:17:9a#1,30:23:03:87:19:6c#1,30:23:03:87:19:6d#1,30:23:03:87:19:6e#1,36:23:03:87:17:80#1,36:23:03:87:17:98#1,36:23:03:87:19:6c#1,58:cb:52:d7:b4:d9#1,58:cb:52:d7:b5:31#1,58:cb:52:d7:b5:5d#1,58:cb:52:d7:bb:61#1
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,39,19.526000000000,6.838000000000,7.328000000000,32.732000000000,17.032000000000,14.760000000000,25.707000000000,8.869000000000,8.397000000000,-100,-100,-100,18.370000000000,3.442000000000,-0.073000000000,16.651000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,40,-100,7.076000000000,7.387000000000,-100,16.916000000000,14.877000000000,-100,8.913000000000,8.573000000000,-100,-100,-100,18.211000000000,3.526000000000,0.036000000000,16.798000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,41,19.594000000000,7.107000000000,7.416000000000,31.957000000000,17.004000000000,14.721000000000,25.857000000000,8.907000000000,8.632000000000,19.170000000000,-100,-100,18.133000000000,3.508000000000,-0.120000000000,16.833000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,42,18.969000000000,6.922000000000,7.255000000000,32.419000000000,17.029000000000,14.662000000000,26.319000000000,8.832000000000,8.602000000000,-100,-100,-100,18.389000000000,3.479000000000,-0.073000000000,16.936000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,43,-100,6.926000000000,7.416000000000,32.257000000000,17.041000000000,14.838000000000,-100,8.913000000000,8.470000000000,-100,-100,-100,18.079000000000,3.618000000000,-0.041000000000,16.839000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,44,19.770000000000,6.847000000000,7.416000000000,32.094000000000,16.919000000000,14.935000000000,26.019000000000,8.798000000000,8.471000000000,19.132000000000,-100,-100,18.089000000000,3.505000000000,-0.082000000000,16.933000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,45,19.444000000000,7.032000000000,7.416000000000,32.257000000000,17.154000000000,14.799000000000,26.169000000000,8.948000000000,8.515000000000,18.345000000000,-100,-100,18.151000000000,3.573000000000,-0.001000000000,16.651000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,46,19.882000000000,6.882000000000,7.357000000000,32.419000000000,17.041000000000,14.603000000000,25.857000000000,9.054000000000,8.441000000000,-100,-100,25.695000000000,18.170000000000,3.477000000000,-0.148000000000,16.808000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,47,-100,6.879000000000,7.252000000000,-100,16.844000000000,14.740000000000,-100,8.913000000000,8.353000000000,-100,-100,-100,18.189000000000,3.543000000000,-0.038000000000,16.867000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,48,19.291000000000,6.957000000000,7.322000000000,32.569000000000,17.029000000000,14.760000000000,26.007000000000,8.913000000000,8.705000000000,-100,-100,-100,18.289000000000,3.505000000000,-0.035000000000,16.720000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,49,19.526000000000,6.913000000000,7.416000000000,32.419000000000,16.991000000000,14.525000000000,25.845000000000,9.016000000000,8.529000000000,-100,-100,-100,18.292000000000,3.479000000000,-0.038000000000,16.798000000000
0af2ffd75dc5922e081035a7ef606d15,0.0000,19.2000,0.0000,google,Pixel 3a,0.00,0,24.091000000000,7.706000000000,8.256000000000,17.107000000000,1.479000000000,1.337000000000,26.088000000000,11.116000000000,14.198000000000,-100,17.060000000000,-100,6.076000000000,18.754000000000,16.948000000000,-1.141000000000
0af2ffd75dc5922e081035a7ef606d15,0.0000,19.2000,0.0000,google,Pixel 3a,0.00,1,23.357000000000,7.582000000000,7.064000000000,15.898000000000,1.638000000000,4.428000000000,26.679000000000,11.166000000000,11.400000000000,23.970000000000,-100,-100,5.701000000000,19.414000000000,16.714000000000,-1.685000000000
0af2ffd75dc5922e081035a7ef606d15,0.0000,19.2000,0.0000,google,Pixel 3a,0.00,2,22.894000000000,6.685000000000,6.615000000000,15.776000000000,1.576000000000,4.779000000000,25.695000000000,11.226000000000,11.107000000000,-100,-100,-100,5.754000000000,19.297000000000,16.679000000000,-1.666000000000
